"","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species"
"f21ce371b19c50c46b34f26662cdf964","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Mollusca"," Bivalvia"," Heteroconchia"," Hiatella"," Hiatella_arctica"
"ceafa6b3b11eabb4002bdc4355dae6a7","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX"," Eucalyptus"," Eucalyptus_camaldulensis"
"4ae134570ef3f070d2d3c20d1507fde3","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes","",""
"86ebabf928be099499f892aa58e15c3e","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Dinophyceae"," Peridiniales"," Heterocapsaceae"," Heterocapsa",""
"0562c5abd0413e52c8b76fa92a6f69a2","Eukaryota"," TSAR"," Stramenopiles"," Gyrista"," Mediophyceae"," Hemiaulales"," Hemiaulaceae"," Cerataulina"," Cerataulina_pelagica"
"16de1a5a8f3578947ef5076ebdd93941","Eukaryota"," TSAR"," Alveolata"," Apicomplexa"," Gregarinomorphea"," Gregarinomorphea_X"," Gregarinomorphea_XX"," Enterocystis"," Enterocystis_dorypterygis"
"e3b3932feb9c042e03439e218eb6c782","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Ustilaginomycotina"," Exobasidiomycetes","",""
"a11f4d2cf35618126c2436d0820434c1","Eukaryota"," TSAR"," Stramenopiles"," Bigyra"," Opalozoa"," Opalozoa_X"," MAST-12"," MAST-12A"," MAST-12A_sp."
"a0a57f2df0e0cd1c704f98408acff13d","Eukaryota"," Archaeplastida"," Chlorophyta"," Chlorophyta_X"," Ulvophyceae"," Ulvales-relatives"," Ulvales-relatives_X"," Ulva",""
"bf95e1477003234a5e0b5dff400ccfea","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Syndiniales"," Dino-Group-II"," Dino-Group-II-Clade-2"," Dino-Group-II-Clade-2_X"," Dino-Group-II-Clade-2_X_sp."
"e3c66d331094148d6f595777bc4df052","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Arthropoda"," Chelicerata"," Arachnida"," Lasioseius"," Lasioseius_sp."
"7f23ff6b8dd33e5491a41eb13046540d","Eukaryota"," Obazoa"," Opisthokonta"," Fungi","","","","",""
"5eeb2b41373966788660ee3146859277","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes"," Peniophora"," Peniophora_nuda"
"aaa89104d969f2de044bfec2a437399d","Eukaryota"," TSAR"," Alveolata","","","","","",""
"83085bd1c0ae1a2dbf23bcaf836283d4","Eukaryota"," Archaeplastida"," Picozoa"," Picozoa_X"," Picozoa_XX"," Picozoa_XXX"," Picozoa_XXXX"," Picozoa_XXXXX"," Picozoa_XXXXX_sp."
"a85e3823c8a4b0f22345cb2d69340a89","Eukaryota"," Archaeplastida"," Streptophyta"," Streptophyta_X"," Embryophyceae"," Embryophyceae_X"," Embryophyceae_XX"," Citrus",""
"fd5201fb247e310c162d30188e59b10d","Eukaryota"," Obazoa"," Opisthokonta"," Metazoa"," Craniata"," Craniata_X"," Mammalia"," Homo"," Homo_sapiens"
"df07b69e7718122c2934dad8f2ed6f02","Eukaryota"," Archaeplastida"," Chlorophyta"," Chlorophyta_X"," Mamiellophyceae","","","",""
"f9f8c9f5d4864943fa2f8ab4804d8618","Eukaryota"," TSAR"," Alveolata"," Dinoflagellata"," Syndiniales"," Dino-Group-I"," Dino-Group-I-Clade-1"," Dino-Group-I-Clade-1_X"," Dino-Group-I-Clade-1_X_sp."
"a3ca93396fb5ca07e787acea379dcf9e","Eukaryota"," TSAR"," Stramenopiles"," Gyrista"," Mediophyceae"," Chaetocerotales"," Chaetocerotaceae"," Chaetoceros"," Chaetoceros_tenuissimus"
"b15f1baf958e2f086639e8bdff95dab5","Eukaryota"," Obazoa"," Opisthokonta"," Fungi"," Basidiomycota"," Agaricomycotina"," Agaricomycetes"," Ganoderma",""
