Sample;Depth;Unit;date_min;date_max;date_median;date_mean;Sum_genus;Ammonia;Amphistegina;Cymbaloporetta;Neo_cassidulina;Eggerella;Elphidium;Euglandulina;Glandulina;Haynesina;Hyalinonetrion;Lagena;Miliolinella;Mimosina;Nonion;Peneroplis;Planispirinella;Planorbulinella;Pyrgo;Quinqueloculina;Reussella;Siphogenerina;Spiroloculina;Triloculina;Uvigerina;Wiesnerella
B29;97;III;1939;1969;1957;1956;10;1;1;;;;1;;;1;;;;;1;;1;;1;1;;;1;1;;
B31;99;III;1901;1968;1954;1949;9;1;1;;;;;;1;1;;;;;1;;1;;;1;;;1;1;;
B33;101;III;1862;1968;1952;1941;7;1;1;;;;1;;;1;;;;;1;;;;;1;;;;1;;
B35;103;III;1823;1967;1950;1933;8;1;1;;;;1;;;1;;1;;;1;;;;;1;;;;1;;
B37;105;III;1784;1967;1948;1925;7;1;1;;;;1;;;1;;;;;1;;;;;1;;;;1;;
B39;107;III;1744;1967;1946;1917;8;1;1;;;;1;;;1;;;;;;;;;;1;;;1;1;;1
B41;109;III;1720;1965;1935;1908;7;1;;;;1;1;;;1;;;;;1;;;;;1;;;;1;;
B43;111;III;1715;1964;1917;1896;6;1;;;;;1;;;;;;;;1;;;;;1;;;1;1;;
B45;113;III;1707;1963;1905;1885;5;1;;;;;1;;;1;;;;;1;;;;;1;;;;;;
B47;115;III;1691;1963;1895;1874;9;1;;1;;;1;;1;1;;;;;1;;;;;1;;;1;1;;
B49;117;III;1661;1963;1888;1862;5;1;;;;;;;;1;;;;;1;;;;;1;;;;1;;
B51;119;III;1625;1963;1881;1851;9;1;;;;;1;;;1;;;;;1;;1;;;1;;;1;1;;1
B53_F;121;III;1601;1960;1871;1840;4;1;;;;;;;;1;;;;;1;;;;;1;;;;;;
B55;123;III;1597;1959;1854;1829;8;1;;;;1;1;;1;1;;;;;1;;;;;1;;;;1;;
B57_F;125;III;1592;1958;1833;1819;7;1;;;;;1;;1;1;;;;;1;;;;;1;;;;1;;
B59_F;127;III;1586;1958;1816;1808;5;1;;;;;;;;1;;;;;1;;;;;1;;;;1;;
B61_F;129;III;1570;1957;1804;1797;10;1;;;;1;1;;;1;;;;;1;;1;;;1;;;1;1;;1
B63_F;131;III;1546;1957;1795;1787;5;1;;;;;1;;;1;;;;;1;;;;;;1;;;;;
B65_F;133;III;1532;1952;1784;1776;11;1;;;;;1;;;1;;;;;1;1;;;1;1;1;;1;1;;1
B67_F;135;III;1530;1950;1772;1764;8;;;;;;1;;;1;;;;;1;;1;;;1;;;1;1;;1
B69_F;137;III;1527;1947;1757;1753;7;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;
B71_F;139;IV;1523;1945;1738;1742;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
B73_F;141;IV;1516;1944;1722;1730;9;1;;;;;1;;1;1;;;;;1;;1;;;1;;;;1;;1
B75_F;143;IV;1502;1944;1708;1719;11;1;;;1;;1;;;1;;;;;1;;1;;;1;1;;1;1;;1
B77_F;145;IV;1491;1940;1699;1711;10;1;1;;;;;;1;1;;;;;1;;;;1;1;;;1;1;;1
B79_F;147;IV;1491;1938;1695;1705;9;1;;;;;1;;1;1;;;;;1;;;;;1;1;;1;1;;
B81_F;149;IV;1490;1937;1689;1699;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
B83_F;151;IV;1487;1937;1681;1693;11;1;;;1;;1;;1;1;;;;;1;;1;;;1;;;1;1;;1
B85_F;153;IV;1483;1937;1674;1687;11;1;1;;;;1;;;1;;1;;;1;;1;;;1;;;1;1;;1
B87_F;155;IV;1477;1937;1670;1682;7;1;;;;;;;;1;;;;;1;;;;;1;;;1;1;;1
C01;156;IV;1473;1937;1666;1679;12;1;;;;1;1;;;1;;;;;1;1;1;;;1;1;;1;1;;1
C03;158;IV;1472;1898;1660;1669;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C05;160;IV;1471;1871;1654;1660;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C07;162;IV;1469;1859;1646;1650;8;1;;;;;;;;1;;;;;1;;1;;;1;;1;;1;;1
C09;164;IV;1464;1854;1637;1641;9;1;;;;;1;;1;1;;;;1;1;;;;;1;;;;1;;1
C11;166;IV;1458;1850;1626;1632;9;1;1;;;1;;;;1;;;;;1;;;;;1;;1;1;1;;
C13;168;IV;1449;1849;1616;1622;10;1;;;;;1;;;1;;;;;1;;;1;;1;1;;1;1;;1
C15;170;IV;1434;1829;1598;1604;10;1;1;;;;1;;;1;;;;;1;;1;;;1;;;1;1;;1
C17;172;IV;1403;1814;1580;1586;9;1;;;;;1;;;1;;;;;1;;1;;;1;;;1;1;;1
C19;174;IV;1357;1810;1567;1569;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C21;176;IV;1302;1808;1555;1551;9;1;1;;;;;;;1;;;;;1;;;1;;1;;;1;1;;1
C23;178;IV;1239;1804;1547;1533;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C25;180;IV;1170;1800;1539;1515;7;1;;;;;1;;;1;;;;;1;;;;;1;;;1;;;1
C27;182;IV;1168;1777;1523;1500;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C29;184;IV;1165;1765;1501;1485;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C31;186;IV;1162;1758;1480;1470;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C33;188;IV;1152;1755;1462;1455;13;1;1;;;;1;;;1;;1;1;;1;;;1;1;1;;;1;1;;1
C35;190;IV;1141;1753;1445;1441;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C37;192;IV;1104;1751;1431;1426;8;1;;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C39;194;IV;1101;1701;1412;1406;11;1;;;;;1;1;;1;;;;;1;;;1;;1;;1;1;1;;1
C41;196;IV;1098;1678;1390;1387;10;1;;;;;;;;1;;;;;1;1;1;1;;1;;;1;1;;1
C43;198;IV;1095;1671;1363;1367;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C45;200;IV;1088;1661;1333;1348;9;1;;;;;1;;;1;;;;;1;;;;1;1;;;1;1;;1
C47;202;IV;1076;1657;1301;1328;11;1;1;;;;1;;;1;;;;;1;;1;1;;1;;;1;1;;1
C49;204;V;1055;1655;1279;1309;8;1;;;;;;;;1;;;;;1;;;1;;1;;;1;1;;1
C51;206;V;1054;1584;1271;1292;10;1;1;;;;1;;;1;;;;;1;;1;;;1;;;1;1;;1
C53;208;V;1052;1524;1263;1275;7;1;;;;;;;;1;;;;;1;;;;;1;;;1;1;;1
C55;210;V;1051;1489;1252;1258;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C57;212;V;1050;1462;1238;1241;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C59;214;V;1041;1444;1221;1224;10;1;;;;;;;;1;1;;;;1;;1;;;1;;1;1;1;;1
C61_F;216;V;1028;1428;1206;1207;10;1;;;;;1;;;1;;;;;1;;1;1;;1;;;1;1;;1
C63_F;218;V;1018;1417;1195;1195;10;1;;;;1;1;;;1;;;;;1;;1;;;1;;;1;1;;1
C65_F;220;V;982;1404;1184;1182;9;1;1;;;;1;;;1;;;;;1;;;;;1;;;1;1;;1
C67_F;222;V;919;1399;1176;1170;9;1;1;;;;;;;1;;;;;1;;1;;;1;;;1;1;;1
C69_F;224;V;839;1395;1169;1158;8;1;1;;;;1;;;;;;;;1;;;;;1;;;1;1;;1
C71_F;226;V;807;1395;1165;1152;8;1;1;;;;;;;1;;;;;1;;;;;1;;;1;1;;1
C73_F;227;V;772;1394;1163;1146;6;;;;;;;;;1;;;;;1;;;;;1;;;1;1;;1
