Codification;SampleID;Depth;Unite;all_na;UB;VS;date_min;date_max;date_median;date_mean;Clay ;Very_fine_silt_;Fine_silt_;Medium_silt_;Coarse_silt_;Silt;Very_fine_sand_;Fine_sand_;Medium_sand_;Coarse_sand_;Very_coarse_sand_;Sand;NT_perc;COP_perc;CT_perc;Li;Al;Al_perc;V;Cr;Mn;Fe;Fe_perc;Co;Ni;Ni_perc;Cu;Zn;As;Mo;Ag;Cd;Sn;Sb;Ba;Pb;U;Hg
C-52;C52;206;V;non;;;1054;1584;1271;1292;;;;;;;;;;;;;0,06871268;1,684484186;;;;;;;;;;;;;;;;;;;;;;;;
C-54;C54;208;V;non;28,46614639;71,53385361;1052;1524;1263;1275;18,96244733;8,579904333;13,111369;16,864815;19,344224;57,90031233;17,22698967;5,097985;0,571019667;0,241246333;0;23,13724067;0,050638062;1,013647304;;31,45;35831;3,6;110,13;1825;918;95542;9,6;143,2;2126;0,2;24,85;100,29;33,25;1,286;0,026;0,04;0,757;0,763;107,6;6,487;2,739;0,155
C-56;C56;210;V;non;;;1051;1489;1252;1258;;;;;;;;;;;;;0,05641307;1,230412819;;;;;;;;;;;;;;;;;;;;;;;;
C-58;C58;212;V;non;28,7754179;71,2245821;1050;1462;1238;1241;14,08900767;7,035629;9,440666667;12,653034;17,97419467;47,10352433;24,05957367;12,659202;1,828838;0,249680667;0,010173333;38,80746767;0,088501058;1,074074881;;30,52;34942;3,5;107,34;1969;865;93591;9,4;137,2;2029;0,2;24,21;98,35;32,38;1,47;0,029;0,038;0,766;0,815;104,72;6,361;2,354;0,164
C-60;C60;214;V;non;;;1041;1444;1221;1224;;;;;;;;;;;;;0,081118597;1,177718921;;;;;;;;;;;;;;;;;;;;;;;;
C-62;C62;216;V;non;29,72084651;70,27915349;1028;1428;1206;1207;11,882609;6,510906;9,035830667;11,79938633;19,94842367;47,29454667;27,56674833;11,50238767;1,022725667;0,325783667;0,405198667;40,822844;0,06875181;1,493425959;1,572535947;29,63;33686;3,4;102,96;1820;867;91713;9,2;138,7;2023;0,2;22,65;96,1;28,93;1,296;0,024;0,042;0,708;0,733;103,92;6,238;2,24;0,148
C-64;C64;218;V;non;;;1018;1417;1195;1195;15,98714933;9,191641333;12,45144967;14,13443833;18,738381;54,51591033;20,88251367;7,187099667;1,305840333;0,053279;0,068207667;29,49694033;0,165426285;1,684285077;;;;;;;;;;;;;;;;;;;;;;;;
C-66;C66;220;V;non;28,0794405;71,9205595;982;1404;1184;1182;25,537827;9,543669333;11,992002;15,81874867;17,66899733;55,02341733;13,61651033;5,152662333;0,548967667;0,041130667;0,079484333;19,43875533;0,160301515;1,362497314;;31,79;36016;3,6;107,07;1885;891;95341;9,5;147,4;2167;0,2;25,31;100,16;29,6;1,368;0,028;0,047;0,775;0,697;108,94;6,609;2,428;0,155
C-68;C68;222;V;non;;;919;1399;1176;1170;;;;;;;;;;;;;0,112873184;1,522685751;;;;;;;;;;;;;;;;;;;;;;;;
C-70;C70;224;V;non;32,70389164;67,29610836;839;1395;1169;1158;31,37221933;12,75178533;16,38707733;18,608145;13,88861533;61,635623;6,179528333;0,577163333;0,085944667;0,149521333;0;6,992157667;0,131518257;1,424903555;1,992794419;28,74;33082;3,3;104,16;1789;918;95528;9,6;151,5;2243;0,2;24,1;98,09;33,32;1,333;0,026;0,05;0,702;0,713;97,27;6,248;2,536;0,179
C-72;C72;226;V;non;;;772;1394;1163;1146;23,915961;10,52079967;13,78626567;16,44856;16,71864867;57,474274;14,61032667;3,328528667;0,462443333;0,208466333;0;18,609765;0,180447625;1,660035937;;;;;;;;;;;;;;;;;;;;;;;;
